Passenger Car,Buss,"Lorries  ?3,5 tonnes",Lorries >3.5t - ?16 tonnes,Lorries  >16t - ?26 tonnes,Lorries >26 tonnes,Lorriers,Population,Motorcycles%,Passenger Car%,Bus%,Lorries%,Motorcycles,Passenger Car,Bus,Lorries,Total Kilometers
55763.99865,983.7809583,3605.681466,695.0355286,2627.282729,333.8877631,7261.887487,8559,0.004665128,0.867116718,0.015297556,0.112920597,0.035052331,6.515246951,0.11494111,0.84845046,7.513690852
56380.11591,987.4931886,3727.518001,678.2397166,2388.488086,395.7796718,7190.025475,8617,0.004762783,0.869170471,0.015223451,0.110843295,0.035853015,6.542893804,0.114598258,0.834400078,7.527745155
56955.60378,993.323616,3764.415586,664.9950727,2339.15795,479.775774,7248.344383,8668,0.005184066,0.869060018,0.01515668,0.110599237,0.039195688,6.570789546,0.114596633,0.83621878,7.560800646
55681.45335,971.3895262,3659.113846,641.3080731,2296.47296,536.0625531,7132.957432,8719,0.005456235,0.86818135,0.015145838,0.111216576,0.040135302,6.386220134,0.111410658,0.818093524,7.355859617
56289.34943,981.4072629,3678.542677,641.8830746,2318.905535,638.9273551,7278.258642,8781,0.005474437,0.867266474,0.015120829,0.11213826,0.040464032,6.410357525,0.111764863,0.828864439,7.39145086
56897.713,994.3084654,3747.314929,634.0905465,2311.243109,752.1961022,7444.844686,8831,0.005527151,0.866023029,0.015134071,0.113315749,0.041120354,6.44295244,0.112592964,0.843035295,7.439701053
57117.03954,999.1185778,3831.921383,622.6082316,2210.428132,869.2993489,7534.257096,8843,0.005726085,0.865036152,0.015131626,0.114106137,0.042755262,6.459011596,0.112984121,0.852002386,7.466753364
57111.93697,989.8178509,3938.190005,604.8296258,2176.197707,1004.370619,7723.587957,8846,0.006058635,0.862371758,0.014945929,0.116623678,0.045358662,6.456244288,0.111894399,0.873116432,7.48661378
57516.93864,976.1633471,4120.35173,588.1332356,2179.706676,1154.254681,8042.446322,8851,0.006265837,0.859037737,0.014579377,0.120117048,0.047399122,6.498354835,0.110288481,0.908648325,7.564690763
58756.96603,968.4745903,4346.848526,587.7784116,2137.754401,1379.516492,8451.897831,8858,0.006696842,0.856053951,0.014110097,0.12313911,0.051891064,6.63320908,0.109333325,0.954154192,7.748587661
58894.79187,922.3803273,4600.515161,581.4525389,2153.902696,1588.724589,8924.594985,8872,0.007577152,0.850262358,0.013316377,0.128844112,0.059157311,6.638276812,0.103965321,1.005928199,7.807327643
59564.93045,921.9995212,4910.775998,561.2942115,1991.192238,1725.218691,9188.481138,8896,0.007887859,0.848148432,0.013128404,0.130835305,0.062270615,6.695698118,0.103642033,1.032877826,7.894488591
60580.97608,930.5990941,5246.369842,545.0804504,1891.297651,1822.623625,9505.371569,8925,0.008475727,0.845819357,0.012992837,0.132712079,0.068018555,6.787784435,0.104268806,1.065027627,8.025099423
61326.90762,932.6503538,5537.785387,526.6683376,1792.255881,1939.122562,9795.832167,8958,0.009223704,0.843257475,0.012824132,0.134694688,0.074883334,6.846049076,0.104113681,1.093528931,8.118575023
61919.91514,925.5182047,5866.794884,514.7905914,1772.955158,2114.339573,10268.88021,8994,0.009310608,0.839006757,0.012540651,0.139141985,0.076399417,6.884580291,0.102903959,1.141747855,8.205631522
62059.26202,925.3549829,6365.161295,498.866855,1748.685915,2316.143626,10928.85769,9030,0.009469098,0.831669963,0.012400888,0.146460051,0.078248577,6.872565007,0.102475635,1.210283244,8.263572462
62147.71962,933.1866615,6749.803208,494.1541221,1683.247522,2476.813008,11404.01786,9081,0.0102604,0.825805488,0.012399983,0.151534129,0.085031153,6.843708801,0.102762544,1.255810798,8.287313297
63355.49764,941.7802537,7238.125823,487.5112636,1638.498324,2752.740865,12116.87628,9148,0.010980043,0.820003208,0.012189358,0.156827391,0.092735631,6.925611898,0.102949306,1.32453829,8.445835125
63276.56195,916.7364791,7434.842322,461.85948,1497.135453,2896.209683,12290.04694,9220,0.010889292,0.818315735,0.011855573,0.1589394,0.091325217,6.862967674,0.099429119,1.332976891,8.386698901
62946.26475,923.8705836,7447.869462,426.5722142,1299.160219,2853.244739,12026.84663,9299,0.010654443,0.820528113,0.012042999,0.156774446,0.08789638,6.769143429,0.099351606,1.293348385,8.2497398
62798.15617,937.3842464,7587.611608,409.0151711,1257.934139,2991.910891,12246.47181,9378,0.009764916,0.818416565,0.012216454,0.159602065,0.079897052,6.696327167,0.099955667,1.305872447,8.182052332
63388.9448,964.6811827,7990.787356,400.5680254,1200.236405,3103.023302,12694.61509,9449,0.009516718,0.814888039,0.012401329,0.163193914,0.078346017,6.708534744,0.102093468,1.34348768,8.23246191
63007.17385,952.3305744,8106.315907,377.4430954,1082.314701,3126.003034,12692.07674,9519,0.008059665,0.815369444,0.012324013,0.164246877,0.065427637,6.619095898,0.100045233,1.333341395,8.117910163
63278.23873,970.3938011,8173.532816,362.16748,1045.132742,3240.172365,12821.0054,9644,0.008892017,0.813751942,0.012479169,0.164876872,0.071697735,6.561410071,0.100621506,1.329428184,8.063157496
64526.59506,969.2586434,8396.20371,355.1487132,995.455658,3313.016924,13059.825,9747,0.008399303,0.814512938,0.012234858,0.164852902,0.068267352,6.620149282,0.09944174,1.339881503,8.127739877
65820.8917,982.5950958,8569.054617,357.1984633,938.3765239,3387.387534,13252.01714,9851,0.008651126,0.815077835,0.01216774,0.164103299,0.070918088,6.681645691,0.099745721,1.345245877,8.197555377
67355.44813,984.6573718,8830.22933,341.9581684,906.1155602,3574.211911,13652.51497,9995,0.008615715,0.814404179,0.011905631,0.165074475,0.071292074,6.738914271,0.098514995,1.365934464,8.274655804
